time (s),X (pixels),Y (pixels),R (pixels),Theta (°)
119.805651099989,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
119.839002399996,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
119.874229599998,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
119.907676099989,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
119.941035899988,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
119.974360199994,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.007749699987,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.041110499995,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.074260199995,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.107604599994,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.139260600001,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.172577499994,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.206156699991,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.239429299996,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.272697499997,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.306238599995,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.340959199995,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.374720099993,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.408135099991,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.441370299988,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.47353589999,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.506938399994,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.540072899996,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.572815299995,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.606235899992,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.63943499999,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.6745716,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.708326199994,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.741676699996,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
